------------+----------------+--------------+---------------------------------+---------------------+------------------+--------------------------+--------------------------+-----------------+--------------+--------------------------+-------------
 postgresql | relief_tracker | public       | disaster_otheraffectedlocations | disaster_id         |                6 | bigint                   |                          | FOREIGN KEY     | public       | disaster_disaster        | id
 postgresql | relief_tracker | public       | disaster_disasterimage          | id                  |                1 | bigint                   |                          | PRIMARY KEY     |              |                          |
 postgresql | relief_tracker | public       | disaster_disasterimage          | disaster_id         |                5 | bigint                   |                          | FOREIGN KEY     | public       | disaster_disaster        | id
 postgresql | relief_tracker | public       | donation_donatedupazila         | id                  |                1 | bigint                   |                          | PRIMARY KEY     |              |                          |
 postgresql | relief_tracker | public       | donation_donatedunion           | id                  |                1 | bigint                   |                          | PRIMARY KEY     |              |                          |
 postgresql | relief_tracker | public       | donation_donateditems           | id                  |                1 | bigint                   |                          | PRIMARY KEY     |              |                          |
 postgresql | relief_tracker | public       | donation_donateddistrict        | id                  |                1 | bigint                   |                          | PRIMARY KEY     |              |                          |
 postgresql | relief_tracker | public       | donation_otherdonatedlocation   | id                  |                1 | bigint                   |                          | PRIMARY KEY     |              |                          |
 postgresql | relief_tracker | public       | donation_donatedupazila         | upazila_id          |                5 | bigint                   |                          | FOREIGN KEY     | public       | location_upazila         | id
 postgresql | relief_tracker | public       | donation_donatedunion           | union_id            |                5 | bigint                   |                          | FOREIGN KEY     | public       | location_union           | id
 postgresql | relief_tracker | public       | donation_donateddistrict        | district_id         |                5 | bigint                   |                          | FOREIGN KEY     | public       | location_district        | id
 postgresql | relief_tracker | public       | donation_donation               | id                  |                1 | bigint                   |                          | PRIMARY KEY     |              |                          |
 postgresql | relief_tracker | public       | donation_donation_donors        | id                  |                1 | bigint                   |                          | PRIMARY KEY     |              |                          |
 postgresql | relief_tracker | public       | donation_otherdonatedlocation   | donation_id         |                6 | bigint                   |                          | FOREIGN KEY     | public       | donation_donation        | id
 postgresql | relief_tracker | public       | donation_donation               | disaster_id         |                6 | bigint                   |                          | FOREIGN KEY     | public       | disaster_disaster        | id
 postgresql | relief_tracker | public       | donation_donation_donors        | donation_id         |                2 | bigint                   |                          | UNIQUE          |              |                          |
 postgresql | relief_tracker | public       | donation_donation_donors        | user_id             |                3 | bigint                   |                          | UNIQUE          |              |                          |
 postgresql | relief_tracker | public       | donation_donation_donors        | donation_id         |                2 | bigint                   |                          | FOREIGN KEY     | public       | donation_donation        | id
 postgresql | relief_tracker | public       | donation_donation_donors        | user_id             |                3 | bigint                   |                          | FOREIGN KEY     | public       | accounts_user            | id
 postgresql | relief_tracker | public       | donation_donation               | created_by_id       |                8 | bigint                   |                          | FOREIGN KEY     | public       | accounts_user            | id
 postgresql | relief_tracker | public       | donation_donateditems           | donated_district_id |                9 | bigint                   |                          | FOREIGN KEY     | public       | donation_donateddistrict | id
 postgresql | relief_tracker | public       | donation_donateditems           | donated_union_id    |               10 | bigint                   |                          | FOREIGN KEY     | public       | donation_donatedunion    | id
 postgresql | relief_tracker | public       | donation_donateditems           | donated_upazila_id  |               11 | bigint                   |                          | FOREIGN KEY     | public       | donation_donatedupazila  | id
 postgresql | relief_tracker | public       | donation_donateddistrict        | donation_id         |                6 | bigint                   |                          | UNIQUE          |              |                          |
 postgresql | relief_tracker | public       | donation_donateddistrict        | donation_id         |                6 | bigint                   |                          | FOREIGN KEY     | public       | donation_donation        | id
 postgresql | relief_tracker | public       | donation_donatedunion           | donation_id         |                6 | bigint                   |                          | UNIQUE          |              |                          |
 postgresql | relief_tracker | public       | donation_donatedunion           | donation_id         |                6 | bigint                   |                          | FOREIGN KEY     | public       | donation_donation        | id
 postgresql | relief_tracker | public       | donation_donatedupazila         | donation_id         |                6 | bigint                   |                          | UNIQUE          |              |                          |
 postgresql | relief_tracker | public       | donation_donatedupazila         | donation_id         |                6 | bigint                   |                          | FOREIGN KEY     | public       | donation_donation        | id
 postgresql | relief_tracker | public       | location_division               | id                  |                1 | bigint                   |                          | PRIMARY KEY     |              |                          |
 postgresql | relief_tracker | public       | location_district               | division_id         |                8 | bigint                   |                          | FOREIGN KEY     | public       | location_division        | id
 postgresql | relief_tracker | public       | media_center_mediacenter        | id                  |                1 | bigint                   |                          | PRIMARY KEY     |              |                          |
 postgresql | relief_tracker | public       | django_session                  | session_key         |                1 | character varying        |                       40 | PRIMARY KEY     |              |                          |
 postgresql | relief_tracker | public       | django_site                     | id                  |                1 | integer                  |                          | PRIMARY KEY     |              |                          |
 postgresql | relief_tracker | public       | django_site                     | domain              |                2 | character varying        |                      100 | UNIQUE          |              |                          |
 postgresql | relief_tracker | public       | location_union                  | name                |                4 | character varying        |                      100 |                 |              |                          |
 postgresql | relief_tracker | public       | media_center_mediacenter        | type                |                6 | character varying        |                       31 |                 |              |                          |
 postgresql | relief_tracker | public       | django_admin_log                | change_message      |                6 | text                     |                          |                 |              |                          |
 postgresql | relief_tracker | public       | disaster_disaster               | state               |                8 | character varying        |                       31 |                 |              |                          |
 postgresql | relief_tracker | public       | disaster_otheraffectedlocations | location            |                4 | text                     |                          |                 |              |                          |
 postgresql | relief_tracker | public       | location_upazila                | longitude           |                8 | double precision         |                          |                 |              |                          |
 postgresql | relief_tracker | public       | donation_donation               | created_at          |                2 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | donation_donatedupazila         | created_at          |                2 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | location_district               | longitude           |                7 | double precision         |                          |                 |              |                          |
 postgresql | relief_tracker | public       | donation_donateditems           | description         |                8 | text                     |                          |                 |              |                          |
 postgresql | relief_tracker | public       | donation_otherdonatedlocation   | location            |                4 | text                     |                          |                 |              |                          |
 postgresql | relief_tracker | public       | donation_donateddistrict        | donated_people      |                4 | integer                  |                          |                 |              |                          |
 postgresql | relief_tracker | public       | donation_donation               | title               |                4 | character varying        |                      100 |                 |              |                          |
 postgresql | relief_tracker | public       | donation_donatedunion           | modified_at         |                3 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | disaster_affectedunion          | affected_people     |                4 | integer                  |                          |                 |              |                          |
 postgresql | relief_tracker | public       | location_district               | latitude            |                6 | double precision         |                          |                 |              |                          |
 postgresql | relief_tracker | public       | donation_otherdonatedlocation   | created_at          |                2 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | disaster_affectedupazila        | created_at          |                2 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | accounts_user                   | last_login          |                3 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | django_admin_log                | action_flag         |                5 | smallint                 |                          |                 |              |                          |
 postgresql | relief_tracker | public       | disaster_disaster               | start_time          |                6 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | location_upazila                | latitude            |                7 | double precision         |                          |                 |              |                          |
 postgresql | relief_tracker | public       | accounts_user                   | first_name          |                6 | character varying        |                      150 |                 |              |                          |
 postgresql | relief_tracker | public       | disaster_otheraffectedlocations | created_at          |                2 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | media_center_mediacenter        | file                |                5 | character varying        |                      100 |                 |              |                          |
 postgresql | relief_tracker | public       | location_union                  | longitude           |                8 | double precision         |                          |                 |              |                          |
 postgresql | relief_tracker | public       | disaster_affectedupazila        | modified_at         |                3 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | disaster_disaster               | description         |                5 | text                     |                          |                 |              |                          |
 postgresql | relief_tracker | public       | location_upazila                | name                |                4 | character varying        |                      100 |                 |              |                          |
 postgresql | relief_tracker | public       | disaster_otheraffectedlocations | modified_at         |                3 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | django_site                     | name                |                3 | character varying        |                       50 |                 |              |                          |
 postgresql | relief_tracker | public       | disaster_affecteddistrict       | affected_people     |                4 | integer                  |                          |                 |              |                          |
 postgresql | relief_tracker | public       | donation_otherdonatedlocation   | modified_at         |                3 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | donation_donatedunion           | created_at          |                2 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | accounts_user                   | password            |                2 | character varying        |                      128 |                 |              |                          |
 postgresql | relief_tracker | public       | location_district               | name                |                4 | character varying        |                      100 |                 |              |                          |
 postgresql | relief_tracker | public       | donation_donateditems           | name                |                4 | character varying        |                      100 |                 |              |                          |
 postgresql | relief_tracker | public       | django_migrations               | name                |                3 | character varying        |                      255 |                 |              |                          |
 postgresql | relief_tracker | public       | authtoken_token                 | created             |                2 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | donation_donatedupazila         | modified_at         |                3 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | donation_donateditems           | quantity            |                5 | double precision         |                          |                 |              |                          |
 postgresql | relief_tracker | public       | django_session                  | session_data        |                2 | text                     |                          |                 |              |                          |
 postgresql | relief_tracker | public       | django_admin_log                | action_time         |                2 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | location_union                  | latitude            |                7 | double precision         |                          |                 |              |                          |
 postgresql | relief_tracker | public       | django_migrations               | app                 |                2 | character varying        |                      255 |                 |              |                          |
